gender,manner_of_death
Male,Homicide Justified (Law Enforcement Staff)
Male,Homicide Justified (Law Enforcement Staff)
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Suicide
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Suicide
Male,Homicide Justified (Law Enforcement Staff)
Male,Pending Investigation
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Suicide
Male,Pending Investigation
Male,Homicide Justified (Law Enforcement Staff)
Male,Suicide
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Suicide
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Accidental
Male,Natural
Male,Natural
Male,Natural
Male,Suicide
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Accidental
Male,Natural
Male,Natural
Male,Suicide
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Homicide Willful (Other Inmate)
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Pending Investigation
Male,Natural
Male,Accidental
Male,Suicide
Male,Accidental
Male,Accidental
Male,Natural
Male,Accidental
Male,Natural
Male,Suicide
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Accidental
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Suicide
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Homicide Willful (Other Inmate)
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Suicide
Male,Accidental
Male,Natural
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Suicide
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Homicide Justified (Law Enforcement Staff)
Male,Homicide Justified (Law Enforcement Staff)
Male,Pending Investigation
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Suicide
Male,Accidental
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Pending Investigation
Male,Natural
Male,Natural
Male,Natural
Male,Cannot be Determined
Male,Natural
Male,Pending Investigation
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Accidental
Male,Homicide Justified (Law Enforcement Staff)
Male,Accidental
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Accidental
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Suicide
Male,Natural
Male,Suicide
Male,Natural
Male,Accidental
Male,Accidental
Male,Accidental
Male,Natural
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Accidental
Male,Natural
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Suicide
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Natural
Male,Cannot be Determined
Male,Natural
Male,Accidental
Male,Natural
Male,Natural
Male,Homicide Willful (Other Inmate)
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Suicide
Male,Homicide Willful (Other Inmate)
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Cannot be Determined
Male,Natural
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Suicide
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Suicide
Male,Homicide Justified (Law Enforcement Staff)
Male,Accidental
Male,Natural
Male,Natural
Male,Natural
Male,Accidental
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Accidental
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Suicide
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
